insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (1, 'Collien Emmelmann', 2017, 33);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (64, 'Danilo Hüttcher', 1999, 89);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (65, 'Finley Fusenig', 2012, 30);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (66, 'Jule Itt', 2004, 58);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (67, 'Finnja von Erm', 2010, 40);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (68, 'Vivian von Gauder', 1999, 28);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (69, 'Prof. Dr. Delia Lutje', 1994, 96);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (70, 'Eda Haupt', 2008, 11);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (71, 'Dr. Dario Rodehau', 1993, 96);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (72, 'Amy Riedel', 1992, 27);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (73, 'Bianka Geisler', 2003, 56);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (74, 'Nikita Grosskopf', 1996, 82);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (75, 'Damian Rietscher', 2016, 8);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (76, 'Raphael von der Köhre', 1996, 43);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (77, 'Fritz zu Kaul', 1997, 33);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (78, 'Jasmine Welz', 2017, 81);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (79, 'Dr. Maxim Tudow', 2016, 91);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (80, 'Ayman Berner', 2007, 37);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (81, 'Piet Ullrich', 1994, 47);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (82, 'Prof. Dr. Henrike Häfner', 2016, 84);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (83, 'Dr. Fabrice Schumann', 2000, 48);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (84, 'Tim Fietz', 2006, 89);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (85, 'Irem Grosser', 2001, 11);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (86, 'Nathan von Scc', 1999, 69);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (87, 'Mick Hönig', 2005, 87);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (88, 'Philip Schäffel', 2018, 28);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (89, 'Prof. Dr. Mohamed Stahl', 2015, 43);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (90, 'Monique von Fust', 1995, 21);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (91, 'Eren von der Kohnle', 2003, 2);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (92, 'Amir Nwachukwu', 1996, 51);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (93, 'Esther Nolte', 2007, 10);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (94, 'Anthony Bogdashin', 2000, 33);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (95, 'Eric Dengler', 2017, 59);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (96, 'Liah Schwidde', 2015, 63);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (97, 'Meike Strege', 2006, 51);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (98, 'Curt Schreiber', 2007, 78);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (99, 'Kenan Vogt', 2010, 48);
insert into Motorraeder (MotorradID, Modell, Baujahr, HerstellerID) values (100, 'Darian Anggreny', 2006, 42);
